               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022109,           0.0086124,            0.043452,              0.6874,             0.73108,             0.68823,             0.57218,            0.010968,           0.0026247,             0.02305,           0.0033122,           0.0033122,             0.07019
                   1,             0.02604,           0.0090273,            0.039514,             0.66743,             0.82793,             0.77293,             0.58283,            0.014363,           0.0027852,            0.018822,           0.0063824,           0.0063824,            0.039927
                   2,             0.03127,           0.0092609,             0.03584,             0.51539,             0.71344,             0.62707,             0.43454,            0.022263,           0.0039001,            0.021925,           0.0091886,           0.0091886,           0.0093995
                   3,            0.032582,             0.01018,            0.034584,             0.51689,             0.69913,             0.63215,             0.46648,            0.017405,           0.0038658,            0.026356,            0.008812,            0.008812,            0.008812
                   4,            0.031626,            0.010392,             0.03254,             0.75111,             0.78601,             0.82905,             0.59229,            0.016791,           0.0041425,            0.013849,            0.008812,            0.008812,            0.008812
                   5,            0.028772,            0.010288,             0.02946,             0.84612,             0.92857,              0.9311,             0.72443,            0.014889,           0.0032244,           0.0073043,            0.008416,            0.008416,            0.008416
                   6,            0.028483,            0.010289,            0.027274,             0.42884,             0.46831,             0.41101,             0.28875,            0.030387,           0.0066047,            0.031857,             0.00802,             0.00802,             0.00802
                   7,            0.027426,           0.0099141,             0.02693,             0.89536,             0.91449,             0.93432,             0.74218,            0.013175,           0.0030722,            0.007017,            0.007624,            0.007624,            0.007624
                   8,            0.026309,           0.0095506,            0.025246,             0.79792,             0.85692,             0.89865,             0.71658,            0.012612,           0.0032037,            0.011506,            0.007228,            0.007228,            0.007228
                   9,            0.025165,           0.0092746,            0.024909,             0.86622,             0.80511,             0.89245,             0.72982,            0.012361,           0.0034636,            0.010931,            0.006832,            0.006832,            0.006832
                  10,            0.024651,           0.0090653,            0.022175,             0.89328,             0.88969,              0.9217,             0.73991,             0.01278,           0.0028519,           0.0075613,            0.006436,            0.006436,            0.006436
                  11,            0.024386,           0.0088415,             0.02114,             0.93935,             0.93303,             0.94867,             0.78942,            0.012034,           0.0027902,           0.0047553,             0.00604,             0.00604,             0.00604
                  12,            0.023031,           0.0086234,            0.020553,             0.92786,             0.92675,             0.94807,             0.78751,            0.011235,           0.0028115,           0.0054508,            0.005644,            0.005644,            0.005644
                  13,            0.022579,           0.0086238,            0.020055,             0.93383,             0.94882,             0.95448,             0.79811,            0.010513,           0.0027666,           0.0045351,            0.005248,            0.005248,            0.005248
                  14,            0.021811,           0.0082952,            0.019373,             0.92847,             0.94805,             0.95444,             0.80499,             0.01093,            0.002712,           0.0048437,            0.004852,            0.004852,            0.004852
                  15,            0.021236,           0.0083722,            0.019515,             0.93638,             0.94241,             0.94958,             0.80508,            0.010477,           0.0025704,           0.0043803,            0.004456,            0.004456,            0.004456
                  16,            0.021179,           0.0083556,            0.017818,             0.94432,             0.96104,             0.95199,             0.81086,            0.010373,           0.0025091,           0.0035654,             0.00406,             0.00406,             0.00406
                  17,            0.020263,           0.0080394,            0.019056,             0.94429,             0.95356,             0.95532,             0.81505,            0.010217,           0.0024716,           0.0036926,            0.003664,            0.003664,            0.003664
                  18,            0.020096,           0.0080974,            0.017381,             0.93341,              0.9637,             0.96649,             0.83164,           0.0098722,           0.0025107,           0.0035615,            0.003268,            0.003268,            0.003268
                  19,            0.019403,           0.0078117,            0.016144,              0.9437,             0.96117,             0.96459,              0.8274,           0.0096822,             0.00246,           0.0035037,            0.002872,            0.002872,            0.002872
                  20,            0.018984,           0.0077505,            0.016226,             0.95158,             0.94015,             0.95785,             0.82097,           0.0094256,           0.0024697,           0.0035129,            0.002476,            0.002476,            0.002476
                  21,            0.018834,           0.0076113,            0.016864,             0.94993,             0.95064,             0.96428,             0.83538,           0.0093731,            0.002359,            0.002966,             0.00208,             0.00208,             0.00208
                  22,            0.018564,           0.0074048,            0.016142,             0.94725,             0.96538,             0.96562,             0.83772,           0.0092435,           0.0023412,           0.0028847,            0.001684,            0.001684,            0.001684
                  23,            0.018244,           0.0073018,            0.015577,             0.94919,             0.95734,             0.96395,             0.83855,           0.0089685,           0.0023212,           0.0031349,            0.001288,            0.001288,            0.001288
                  24,            0.017871,           0.0072332,            0.015517,             0.93651,             0.97547,             0.96514,             0.84271,           0.0088906,           0.0022973,           0.0028714,            0.000892,            0.000892,            0.000892
